time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
23.502690076828003,62,107,40,47,42,41,97,61,1
23.525450706481934,67,105,43,47,41,32,72,56,1
23.547404527664185,73,97,44,44,37,42,88,53,1
23.56171226501465,77,98,47,56,49,52,89,57,1
23.58670139312744,76,91,45,55,47,52,86,56,1
23.606943130493164,77,79,43,52,46,53,87,52,1
23.621713399887085,72,76,44,54,48,56,100,57,1
23.64444637298584,83,79,45,57,48,49,91,67,1
23.667377471923828,84,86,41,44,34,42,98,65,1
23.689846992492676,84,79,44,52,43,46,104,71,1
23.705527305603027,81,75,46,55,42,46,104,68,1
23.727741956710815,90,84,47,57,44,44,99,72,1
23.74241352081299,83,81,48,62,53,45,102,66,1
23.76455307006836,83,78,48,66,58,45,94,67,1
23.78757619857788,83,80,45,60,51,42,90,64,1
23.80163073539734,85,85,48,63,55,42,85,65,1
23.82563018798828,74,80,46,59,51,43,75,58,1
23.847275018692017,80,85,51,55,41,44,68,59,1
23.861599683761597,77,83,48,52,36,42,74,58,1
23.884936809539795,74,78,50,51,40,41,70,55,1
23.907336950302124,72,71,46,47,37,39,69,53,1
23.921651601791382,79,73,47,52,46,41,84,58,1
23.94492745399475,65,70,44,52,50,40,83,51,1
23.974910020828247,68,77,53,61,55,46,83,64,1
23.981719255447388,67,80,52,66,58,47,82,63,1
24.004910230636597,66,79,53,65,58,46,85,65,1
24.02808380126953,70,79,51,64,54,44,72,62,1
24.041908264160156,77,70,48,62,53,47,71,68,1
24.06490135192871,80,74,42,49,46,40,66,59,1
24.087803840637207,83,83,44,46,44,41,74,60,1
24.101778030395508,82,85,42,48,44,43,75,57,1
24.125200271606445,72,80,39,45,42,43,74,56,1
24.147352695465088,66,83,41,51,45,42,82,52,1
24.16191053390503,56,68,40,55,49,48,80,49,1
24.18486976623535,50,63,37,54,46,46,73,45,1
24.207823038101196,66,63,37,57,45,44,71,52,1
24.229965448379517,71,60,41,62,48,45,71,54,1
24.245975017547607,78,63,41,62,49,44,73,57,1
24.267742395401,83,66,42,66,49,41,80,57,1
24.289928674697876,88,73,41,64,50,42,79,58,1
24.304882287979126,107,94,48,63,50,45,79,54,1
24.32754874229431,106,99,54,69,55,54,89,51,1
24.35005021095276,98,95,51,64,49,54,77,47,1
24.364914655685425,106,106,50,57,50,56,80,57,1
24.387319326400757,104,96,51,56,50,57,78,57,1
24.40985608100891,79,75,43,53,48,54,80,56,1
24.426364421844482,77,68,36,45,46,47,73,55,1
24.447157621383667,77,67,35,46,46,43,71,52,1
24.46950936317444,65,74,38,46,41,37,60,45,1
